Wavelength,Intensity
117.81040077578655,617
122.51378642971758,626
127.21488124521056,630
131.91368652571691,697
136.61020357374218,730
141.30443369086424,805
145.99637817774055,941
150.68603833410816,1101
155.37341545876916,1273
160.05851084960887,1465
164.74132580358491,1615
169.42186161673453,1698
174.10011958417454,1718
178.77610100010133,1711
183.44980715779093,1693
188.12123934959891,1655
192.7903988669641,1720
197.45728700041218,1730
202.12190503954116,1821
206.78425427305774,1823
211.44433598872274,1847
216.10215147340932,1923
220.75770201305568,1901
225.41098889271234,1889
230.06201339649851,1931
234.71077680762755,1913
239.35728040841423,1898
244.00152548025653,1912
248.64351330363934,1899
253.28324515814529,1833
257.92072232245846,1857
262.5559460743425,1789
267.18891769067341,1812
271.8196384474104,1754
276.44810961961048,1687
281.07433248143934,1711
285.69830830615319,1701
290.32003836610966,1652
294.93952393276777,1660
299.55676627668436,1643
304.17176666752493,1658
308.78452637404553,1640
313.39504666412904,1604
318.0033288047307,1612
322.60937406194716,1602
327.21318370095105,1627
331.81475898603821,1594
336.41410118060594,1607
341.01121154716384,1587
345.60609134733386,1608
350.19874184183936,1624
354.78916429052333,1615
359.37735995234107,1583
363.963330085342,1589
368.54707594672072,1570
373.1285987927622,1647
377.70789987887474,1596
382.28498045957895,1630
386.85984178852232,1627
391.43248511845741,1638
396.00291170126366,1587
400.57112278793647,1613
405.13711962859452,1556
409.70090347246878,1620
414.26247556792077,1646
418.82183716243526,1599
423.37898950261297,1569
427.93393383418152,1660
432.48667140199905,1652
437.03720345003967,1655
441.585531221408,1559
446.13165595833925,1639
450.67557890219905,1611
455.2173012934727,1635
459.75682437177966,1652
464.29414937586625,1661
468.8292775436239,1651
473.36221011205271,1661
477.8929483173124,1654
482.42149339467142,1677
486.9478465785578,1665
491.4720091024974,1692
495.99398219920113,1701
500.51376710047771,1758
505.0313650372882,1698
509.54677723973145,1735
514.06000493704778,1718
518.571049357608,1708
523.07991172893526,1706
527.58659327768328,1699
532.09109522966173,1737
536.59341880981083,1710
541.09356524221585,1731
545.59153575012169,1682
550.08733155588925,1663
554.58095388105357,1669
559.07240394628388,1690
563.56168297140175,1664
568.04879217537018,1701
572.53373277631181,1702
577.01650599148707,1754
581.49711303732329,1770
585.97555512937834,1706
590.451833482377,1685
594.9259493101963,1711
599.3979038258658,1690
603.86769824156363,1814
608.33533376863488,1720
612.80081161757334,1746
617.26413299802152,1745
621.72529911879974,1746
626.18431118786975,1741
630.64117041236386,1799
635.09587799855581,1745
639.548435151908,1753
643.99884307701723,1771
648.44710297766869,1755
652.89321605678924,1771
657.33718351647622,1760
661.77900655798658,1766
666.21868638175874,1802
670.65622418737985,1821
675.0916211736112,1825
679.52487853838829,1852
683.95599747879533,1825
688.38497919110887,1873
692.81182487075421,1786
697.23653571234536,1879
701.659112909656,1885
706.07955765563747,1887
710.497871142401,1888
714.91405456125722,1881
719.32810910266562,1864
723.74003595627073,1882
728.14983631089854,1871
732.55751135453829,1852
736.96306227437162,1851
741.36649025674342,1840
745.76779648719094,1931
750.166982150422,1893
754.56404843031851,1888
758.9589965099658,1843
763.3518275716051,1860
767.7425427966773,1898
772.13114336579747,1922
776.517630458773,1940
780.90200525458567,1894
785.28426893140931,1883
789.66442266659942,1927
794.04246763670744,1922
798.41840501745537,1860
802.79223598377212,1923
807.16396170976077,1861
811.53358336873134,1938
815.90110213315711,1994
820.26651917473646,1904
824.629835664331,1968
828.99105277200579,1951
833.35017166702892,1965
837.70719351783919,1953
842.06211949209683,1936
846.41495075663988,1999
850.765688477506,2035
855.114333819929,2001
859.46088794834577,2006
863.80535202638566,1977
868.1477272168886,1966
872.4880146818723,2018
876.82621558257961,1996
881.16233107943117,1960
885.49636233207275,2047
889.82831049933884,1997
894.15817673926358,1985
898.48596220909894,1981
902.81166806529291,1966
907.13529546349673,2018
911.45684555857224,1946
915.77631950459181,2002
920.09371845482747,1995
924.40904356176543,2021
928.72229597709156,2018
933.03347685171684,1973
937.34258733574825,1998
941.64962857851788,1998
945.95460172855383,2031
950.2575079336093,1986
954.55834834064808,1977
958.85712409583721,1994
963.15383634457248,2020
967.4484862314639,2048
971.74107490032839,2066
976.03160349420432,2079
980.32007315534793,2031
984.60648502524054,2149
988.89084024455951,2141
993.17313995323639,2178
997.45338529039145,2253
1001.7315773943774,2320
1006.0077174027792,2279
1010.2818064523854,2236
1014.5538456792201,2200
1018.8238362185293,2206
1023.0917792047767,2131
1027.3576757716619,2155
1031.6215270520988,2172
1035.8833341782374,2194
1040.1430982814454,2092
1044.4008204923302,2168
1048.6565019407171,2139
1052.9101437556674,2106
1057.1617470654637,2128
1061.4113129976322,2156
1065.6588426789167,2169
1069.9043372353008,2163
1074.1477977920003,2143
1078.38922547346,2098
1082.6286214033644,2147
1086.8659867046335,2182
1091.1013224994094,2177
1095.3346299090808,2075
1099.5659100542798,2129
1103.79516405486,2193
1108.0223930299253,2225
1112.2475980978161,2217
1116.4707803761012,2147
1120.6919409816073,2256
1124.9110810303828,2296
1129.1282016377336,2285
1133.3433039182055,2261
1137.556388985573,2205
1141.7674579528684,2203
1145.9765119323602,2188
1150.1835520355708,2233
1154.3885793732516,2208
1158.5915950554227,2265
1162.7926001913293,2191
1166.991595889478,2223
1171.1885832576118,2246
1175.3835634027382,2166
1179.5765374310977,2241
1183.7675064481919,2246
1187.9564715587621,2230
1192.143433866815,2249
1196.3283944756004,2230
1200.5113544876222,2255
1204.6923150046387,2297
1208.8712771276587,2229
1213.0482419569489,2286
1217.2232105920339,2362
1221.3961841316886,2344
1225.5671636739498,2462
1229.7361503160973,2494
1233.9031451546907,2568
1238.0681492855365,2527
1242.2311638036954,2546
1246.3921898035042,2571
1250.5512283785356,2410
1254.7082806216495,2474
1258.8633476249524,2447
1263.0164304798091,2410
1267.1675302768635,2372
1271.3166481060143,2423
1275.4637850564177,2453
1279.6089422165096,2392
1283.7521206739802,2398
1287.8933215157922,2418
1292.0325458281659,2407
1296.1697946966051,2437
1300.3050692058641,2451
1304.4383704399806,2450
1308.5696994822538,2449
1312.6990574152551,2411
1316.8264453208285,2423
1320.9518642800831,2408
1325.0753153734113,2475
1329.1967996804633,2415
1333.3163182801763,2361
1337.4338722507528,2402
1341.5494626696745,2434
1345.6630906136961,2446
1349.7747571588516,2382
1353.8844633804438,2456
1357.9922103530589,2413
1362.0979991505628,2479
1366.2018308460938,2481
1370.3037065120661,2530
1374.403627220192,2627
1378.5015940414414,2728
1382.5976080460787,2748
1386.6916703036441,2774
1390.7837818829612,2762
1394.8739438521407,2743
1398.9621572785727,2731
1403.0484232289273,2622
1407.1327427691685,2551
1411.2151169645404,2510
1415.2955468795662,2508
1419.3740335780712,2541
1423.4505781231564,2496
1427.5251815772099,2427
1431.5978450019211,2518
1435.6685694582447,2482
1439.7373560064552,2582
1443.804205706092,2535
1447.8691196159925,2525
1451.9320987942956,2521
1455.9931442984162,2540
1460.0522571850779,2484
1464.1094385102879,2486
1468.1646893293437,2466
1472.2180106968481,2500
1476.2694036666908,2455
1480.318869292063,2520
1484.3664086254503,2483
1488.4120227186322,2477
1492.4557126226864,2497
1496.4974793879956,2496
1500.5373240642293,2463
1504.5752477003662,2420
1508.6112513446824,2561
1512.6453360447558,2456
1516.6775028474622,2519
1520.7077527989786,2487
1524.7360869447948,2482
1528.7625063296837,2496
1532.7870119977415,2524
1536.8096049923588,2545
1540.8302863562349,2510
1544.8490571313669,2550
1548.8659183590717,2607
1552.880871079964,2512
1556.8939163339564,2528
1560.9050551602922,2592
1564.9142885975052,2603
1568.9216176834379,2582
1572.9270434552564,2623
1576.9305669494242,2674
1580.9321892017251,2551
1584.931911247244,2609
1588.9297341203819,2618
1592.925658854856,2593
1596.9196864836958,2569
1600.9118180392397,2675
1604.9020545531494,2594
1608.8903970563879,2562
1612.8768465792491,2507
1616.8614041513283,2512
1620.8440708015514,2549
1624.8248475581495,2537
1628.8037354486842,2511
1632.7807355000223,2436
1636.7558487383612,2434
1640.7290761892036,2458
1644.7004188773935,2461
1648.6698778270766,2498
1652.6374540617253,2449
1656.6031486041466,2497
1660.5669624764487,2453
1664.5288967000743,2380
1668.4889522957928,2437
1672.4471302836937,2370
1676.4034316831967,2447
1680.3578575130305,2370
1684.3104087912761,2414
1688.2610865353126,2354
1692.2098917618714,2366
1696.1568254869962,2391
1700.101888726058,2396
1704.0450824937689,2385
1707.9864078041719,2317
1711.9258656706115,2347
1715.8634571058028,2361
1719.7991831217623,2355
1723.7330447298555,2341
1727.6650429407637,2348
1731.5951787645208,2320
1735.5234532104841,2383
1739.4498672873378,2370
1743.3744220031149,2381
1747.2971183651716,2356
1751.2179573802132,2365
1755.1369400542644,2341
1759.0540673927026,2301
1762.9693404002392,2363
1766.8827600809091,2384
1770.7943274381068,2336
1774.7040434745541,2295
1778.6119091923138,2314
1782.5179255927906,2384
1786.4220936767306,2400
1790.3244144442178,2356
1794.2248888946888,2380
1798.1235180269032,2343
1802.0203028389842,2329
1805.9152443283856,2372
1809.80834349191,2348
1813.6996013257049,2335
1817.5890188252633,2312
1821.4765969854234,2348
1825.3623368003718,2384
1829.2462392636371,2343
1833.1283053681036,2366
1837.0085361059937,2334
1840.8869324688858,2381
1844.7634954477071,2361
1848.63822603273,2367
1852.5111252135866,2389
1856.3821939792433,2389
1860.251433318037,2334
1864.11884421765,2354
1867.984427665102,2347
