Wavelength,Intensity
117.81040077578655,602
122.51378642971758,627
127.21488124521056,652
131.91368652571691,649
136.61020357374218,667
141.30443369086424,690
145.99637817774055,762
150.68603833410816,862
155.37341545876916,1005
160.05851084960887,1152
164.74132580358491,1224
169.42186161673453,1396
174.10011958417454,1453
178.77610100010133,1480
183.44980715779093,1571
188.12123934959891,1624
192.7903988669641,1684
197.45728700041218,1805
202.12190503954116,1924
206.78425427305774,1996
211.44433598872274,2065
216.10215147340932,2097
220.75770201305568,2115
225.41098889271234,2141
230.06201339649851,2146
234.71077680762755,2164
239.35728040841423,2149
244.00152548025653,2193
248.64351330363934,2114
253.28324515814529,2031
257.92072232245846,2009
262.5559460743425,2011
267.18891769067341,1991
271.8196384474104,1952
276.44810961961048,1944
281.07433248143934,1963
285.69830830615319,1961
290.32003836610966,1892
294.93952393276777,1876
299.55676627668436,1861
304.17176666752493,1965
308.78452637404553,1936
313.39504666412904,1912
318.0033288047307,1921
322.60937406194716,1898
327.21318370095105,1903
331.81475898603821,1892
336.41410118060594,1905
341.01121154716384,1895
345.60609134733386,1910
350.19874184183936,1917
354.78916429052333,1924
359.37735995234107,1907
363.963330085342,1953
368.54707594672072,1936
373.1285987927622,1939
377.70789987887474,1996
382.28498045957895,1964
386.85984178852232,2003
391.43248511845741,2035
396.00291170126366,1996
400.57112278793647,1957
405.13711962859452,1925
409.70090347246878,1995
414.26247556792077,1964
418.82183716243526,2005
423.37898950261297,2010
427.93393383418152,2013
432.48667140199905,1998
437.03720345003967,1974
441.585531221408,1976
446.13165595833925,2016
450.67557890219905,1979
455.2173012934727,2041
459.75682437177966,2008
464.29414937586625,1970
468.8292775436239,1986
473.36221011205271,2001
477.8929483173124,2013
482.42149339467142,2043
486.9478465785578,2023
491.4720091024974,2062
495.99398219920113,2076
500.51376710047771,2005
505.0313650372882,2038
509.54677723973145,2040
514.06000493704778,2092
518.571049357608,2097
523.07991172893526,2079
527.58659327768328,2041
532.09109522966173,2050
536.59341880981083,2087
541.09356524221585,2025
545.59153575012169,1957
550.08733155588925,2031
554.58095388105357,2085
559.07240394628388,2028
563.56168297140175,2090
568.04879217537018,2106
572.53373277631181,2032
577.01650599148707,2086
581.49711303732329,2071
585.97555512937834,2048
590.451833482377,2094
594.9259493101963,2101
599.3979038258658,2129
603.86769824156363,2154
608.33533376863488,2105
612.80081161757334,2111
617.26413299802152,2118
621.72529911879974,2063
626.18431118786975,2105
630.64117041236386,2114
635.09587799855581,2100
639.548435151908,2153
643.99884307701723,2060
648.44710297766869,2104
652.89321605678924,2089
657.33718351647622,2089
661.77900655798658,2077
666.21868638175874,2092
670.65622418737985,2146
