Wavelength,Intensity
117.81040077578655,625
122.51378642971758,626
127.21488124521056,623
131.91368652571691,656
136.61020357374218,665
141.30443369086424,706
145.99637817774055,730
150.68603833410816,802
155.37341545876916,890
160.05851084960887,984
164.74132580358491,1114
169.42186161673453,1181
174.10011958417454,1276
178.77610100010133,1323
183.44980715779093,1371
188.12123934959891,1437
192.7903988669641,1483
197.45728700041218,1560
202.12190503954116,1676
206.78425427305774,1802
211.44433598872274,1861
216.10215147340932,1911
220.75770201305568,1945
225.41098889271234,2022
230.06201339649851,2023
234.71077680762755,1998
239.35728040841423,2046
244.00152548025653,2003
248.64351330363934,1940
253.28324515814529,1745
257.92072232245846,1674
262.5559460743425,1611
267.18891769067341,1594
271.8196384474104,1514
276.44810961961048,1453
281.07433248143934,1421
285.69830830615319,1385
290.32003836610966,1352
294.93952393276777,1319
299.55676627668436,1316
304.17176666752493,1266
308.78452637404553,1321
313.39504666412904,1275
318.0033288047307,1268
322.60937406194716,1262
327.21318370095105,1249
331.81475898603821,1240
336.41410118060594,1244
341.01121154716384,1219
345.60609134733386,1233
350.19874184183936,1235
354.78916429052333,1252
359.37735995234107,1257
363.963330085342,1206
368.54707594672072,1229
373.1285987927622,1224
377.70789987887474,1291
382.28498045957895,1271
386.85984178852232,1282
391.43248511845741,1305
396.00291170126366,1317
400.57112278793647,1266
405.13711962859452,1256
409.70090347246878,1262
414.26247556792077,1246
418.82183716243526,1283
423.37898950261297,1267
427.93393383418152,1279
432.48667140199905,1265
437.03720345003967,1228
441.585531221408,1285
446.13165595833925,1267
450.67557890219905,1288
455.2173012934727,1263
459.75682437177966,1294
464.29414937586625,1277
468.8292775436239,1292
473.36221011205271,1276
477.8929483173124,1302
482.42149339467142,1286
486.9478465785578,1313
491.4720091024974,1306
495.99398219920113,1276
500.51376710047771,1269
505.0313650372882,1239
509.54677723973145,1282
514.06000493704778,1226
518.571049357608,1272
523.07991172893526,1267
527.58659327768328,1265
532.09109522966173,1275
536.59341880981083,1253
541.09356524221585,1234
545.59153575012169,1250
550.08733155588925,1270
554.58095388105357,1246
559.07240394628388,1233
563.56168297140175,1266
568.04879217537018,1238
572.53373277631181,1251
577.01650599148707,1239
581.49711303732329,1288
585.97555512937834,1275
590.451833482377,1250
594.9259493101963,1306
599.3979038258658,1284
603.86769824156363,1283
608.33533376863488,1289
612.80081161757334,1251
617.26413299802152,1215
621.72529911879974,1255
626.18431118786975,1238
630.64117041236386,1277
635.09587799855581,1270
639.548435151908,1254
643.99884307701723,1257
648.44710297766869,1243
652.89321605678924,1249
657.33718351647622,1222
661.77900655798658,1249
666.21868638175874,1233
670.65622418737985,1280
675.0916211736112,1331
679.52487853838829,1306
683.95599747879533,1277
688.38497919110887,1279
692.81182487075421,1312
697.23653571234536,1267
701.659112909656,1248
706.07955765563747,1337
710.497871142401,1307
714.91405456125722,1363
719.32810910266562,1340
723.74003595627073,1277
728.14983631089854,1275
732.55751135453829,1298
736.96306227437162,1272
741.36649025674342,1347
745.76779648719094,1367
750.166982150422,1383
754.56404843031851,1386
758.9589965099658,1424
763.3518275716051,1402
767.7425427966773,1394
772.13114336579747,1404
776.517630458773,1436
780.90200525458567,1330
785.28426893140931,1327
789.66442266659942,1340
794.04246763670744,1309
798.41840501745537,1283
802.79223598377212,1317
807.16396170976077,1322
811.53358336873134,1329
815.90110213315711,1303
820.26651917473646,1329
824.629835664331,1264
828.99105277200579,1287
833.35017166702892,1297
837.70719351783919,1293
842.06211949209683,1289
846.41495075663988,1324
850.765688477506,1363
855.114333819929,1350
859.46088794834577,1311
863.80535202638566,1319
868.1477272168886,1330
872.4880146818723,1367
876.82621558257961,1329
881.16233107943117,1305
885.49636233207275,1331
889.82831049933884,1309
894.15817673926358,1331
898.48596220909894,1291
902.81166806529291,1338
907.13529546349673,1346
911.45684555857224,1332
915.77631950459181,1347
920.09371845482747,1335
924.40904356176543,1294
928.72229597709156,1330
933.03347685171684,1379
937.34258733574825,1277
941.64962857851788,1331
945.95460172855383,1328
950.2575079336093,1311
954.55834834064808,1310
958.85712409583721,1316
963.15383634457248,1350
967.4484862314639,1316
971.74107490032839,1298
976.03160349420432,1402
980.32007315534793,1341
984.60648502524054,1352
988.89084024455951,1415
993.17313995323639,1456
997.45338529039145,1492
1001.7315773943774,1494
1006.0077174027792,1476
1010.2818064523854,1429
