Wavelength,Intensity # Note: second half of data set dropped
117.81040077578655,607
122.51378642971758,621
127.21488124521056,633
131.91368652571691,630
136.61020357374218,633
141.30443369086424,648
145.99637817774055,697
150.68603833410816,717
155.37341545876916,804
160.05851084960887,831
164.74132580358491,923
169.42186161673453,940
174.10011958417454,997
178.77610100010133,1038
183.44980715779093,1071
188.12123934959891,1132
192.7903988669641,1120
197.45728700041218,1190
202.12190503954116,1231
206.78425427305774,1286
211.44433598872274,1271
216.10215147340932,1334
220.75770201305568,1354
225.41098889271234,1364
230.06201339649851,1404
234.71077680762755,1382
239.35728040841423,1345
244.00152548025653,1293
248.64351330363934,1316
253.28324515814529,1333
257.92072232245846,1316
262.5559460743425,1313
267.18891769067341,1245
271.8196384474104,1246
276.44810961961048,1203
281.07433248143934,1239
285.69830830615319,1163
290.32003836610966,1170
294.93952393276777,1200
299.55676627668436,1210
304.17176666752493,1200
308.78452637404553,1165
313.39504666412904,1192
318.0033288047307,1178
322.60937406194716,1170
327.21318370095105,1214
331.81475898603821,1179
336.41410118060594,1197
341.01121154716384,1187
345.60609134733386,1171
350.19874184183936,1192
354.78916429052333,1168
359.37735995234107,1197
363.963330085342,1203
368.54707594672072,1202
373.1285987927622,1197
377.70789987887474,1231
382.28498045957895,1176
386.85984178852232,1221
391.43248511845741,1202
396.00291170126366,1187
400.57112278793647,1197
405.13711962859452,1237
409.70090347246878,1270
414.26247556792077,1180
418.82183716243526,1225
423.37898950261297,1209
427.93393383418152,1205
432.48667140199905,1237
437.03720345003967,1205
441.585531221408,1199
446.13165595833925,1198
450.67557890219905,1248
455.2173012934727,1228
459.75682437177966,1179
464.29414937586625,1217
468.8292775436239,1281
473.36221011205271,1304
477.8929483173124,1263
482.42149339467142,1300
486.9478465785578,1258
491.4720091024974,1234
495.99398219920113,1215
500.51376710047771,1231
505.0313650372882,1239
509.54677723973145,1208
514.06000493704778,1257
518.571049357608,1285
523.07991172893526,1243
527.58659327768328,1226
532.09109522966173,1222
536.59341880981083,1260
541.09356524221585,1236
545.59153575012169,1223
550.08733155588925,1217
554.58095388105357,1251
559.07240394628388,1215
563.56168297140175,1237
568.04879217537018,1275
572.53373277631181,1250
577.01650599148707,1256
581.49711303732329,1204
585.97555512937834,1221
590.451833482377,1254
594.9259493101963,1268
599.3979038258658,1239
603.86769824156363,1225
608.33533376863488,1228
612.80081161757334,1211
617.26413299802152,1241
621.72529911879974,1276
626.18431118786975,1271
630.64117041236386,1242
635.09587799855581,1258
639.548435151908,1262
643.99884307701723,1262
648.44710297766869,1259
652.89321605678924,1260
657.33718351647622,1287
661.77900655798658,1275
666.21868638175874,1291
670.65622418737985,1224
675.0916211736112,1265
679.52487853838829,1245
683.95599747879533,1285
688.38497919110887,1306
692.81182487075421,1254
697.23653571234536,1295
701.659112909656,1301
706.07955765563747,1274
710.497871142401,1287
714.91405456125722,1245
719.32810910266562,1246
723.74003595627073,1279
728.14983631089854,1287
732.55751135453829,1255
736.96306227437162,1260
741.36649025674342,1288
745.76779648719094,1297
750.166982150422,1332
754.56404843031851,1349
758.9589965099658,1366
763.3518275716051,1368
767.7425427966773,1385
772.13114336579747,1330
776.517630458773,1341
780.90200525458567,1361
785.28426893140931,1360
789.66442266659942,1314
794.04246763670744,1300
798.41840501745537,1358
802.79223598377212,1328
807.16396170976077,1327
811.53358336873134,1278
815.90110213315711,1299
820.26651917473646,1268
824.629835664331,1327
828.99105277200579,1316
833.35017166702892,1291
837.70719351783919,1319
842.06211949209683,1316
846.41495075663988,1278
850.765688477506,1344
855.114333819929,1273
859.46088794834577,1327
863.80535202638566,1345
868.1477272168886,1351
872.4880146818723,1342
876.82621558257961,1326
881.16233107943117,1327
885.49636233207275,1338
889.82831049933884,1310
894.15817673926358,1344
898.48596220909894,1328
902.81166806529291,1328
907.13529546349673,1349
911.45684555857224,1367
915.77631950459181,1308
920.09371845482747,1332
924.40904356176543,1339
928.72229597709156,1342
933.03347685171684,1304
937.34258733574825,1341
941.64962857851788,1362
945.95460172855383,1373
950.2575079336093,1320
954.55834834064808,1329
958.85712409583721,1279
963.15383634457248,1332
967.4484862314639,1346
971.74107490032839,1335
976.03160349420432,1332
980.32007315534793,1337
984.60648502524054,1349
988.89084024455951,1342
993.17313995323639,1316
997.45338529039145,1368
1001.7315773943774,1349
1006.0077174027792,1384
1010.2818064523854,1353
1014.5538456792201,1378
1018.8238362185293,1365
1023.0917792047767,1343
1027.3576757716619,1385
1031.6215270520988,1392
1035.8833341782374,1473
1040.1430982814454,1429
1044.4008204923302,1402
1048.6565019407171,1405
1052.9101437556674,1447
1057.1617470654637,1361
1061.4113129976322,1383
1065.6588426789167,1460
1069.9043372353008,1394
1074.1477977920003,1422
1078.38922547346,1388
1082.6286214033644,1447
1086.8659867046335,1375
1091.1013224994094,1368
1095.3346299090808,1367
1099.5659100542798,1385
1103.79516405486,1394
1108.0223930299253,1393
1112.2475980978161,1343
1116.4707803761012,1386
1120.6919409816073,1402
1124.9110810303828,1425
1129.1282016377336,1397
1133.3433039182055,1374
1137.556388985573,1393
1141.7674579528684,1412
1145.9765119323602,1401
