Wavelength,Intensity
117.81040077578655,589
122.51378642971758,615
127.21488124521056,643
131.91368652571691,640
136.61020357374218,652
141.30443369086424,649
145.99637817774055,699
150.68603833410816,763
155.37341545876916,794
160.05851084960887,847
164.74132580358491,922
169.42186161673453,1014
174.10011958417454,1024
178.77610100010133,1052
183.44980715779093,1060
188.12123934959891,1068
192.7903988669641,1114
197.45728700041218,1183
202.12190503954116,1222
206.78425427305774,1274
211.44433598872274,1279
216.10215147340932,1312
220.75770201305568,1320
225.41098889271234,1285
230.06201339649851,1341
234.71077680762755,1263
239.35728040841423,1278
244.00152548025653,1251
248.64351330363934,1209
253.28324515814529,1171
257.92072232245846,1126
262.5559460743425,1101
267.18891769067341,1116
271.8196384474104,1065
276.44810961961048,1053
281.07433248143934,1047
285.69830830615319,1032
290.32003836610966,972
294.93952393276777,998
299.55676627668436,985
304.17176666752493,1006
308.78452637404553,985
313.39504666412904,970
318.0033288047307,1001
322.60937406194716,983
327.21318370095105,988
331.81475898603821,974
336.41410118060594,990
341.01121154716384,981
345.60609134733386,1008
350.19874184183936,1001
354.78916429052333,969
359.37735995234107,970
363.963330085342,955
368.54707594672072,1018
373.1285987927622,978
377.70789987887474,968
382.28498045957895,994
386.85984178852232,979
391.43248511845741,1027
396.00291170126366,989
400.57112278793647,984
405.13711962859452,1004
409.70090347246878,1027
414.26247556792077,1017
418.82183716243526,1069
423.37898950261297,1048
427.93393383418152,1031
432.48667140199905,994
437.03720345003967,991
441.585531221408,991
446.13165595833925,989
450.67557890219905,989
455.2173012934727,1001
459.75682437177966,1001
464.29414937586625,990
468.8292775436239,1028
473.36221011205271,1058
477.8929483173124,1046
482.42149339467142,1022
486.9478465785578,1047
491.4720091024974,1005
495.99398219920113,1023
500.51376710047771,981
505.0313650372882,997
509.54677723973145,995
514.06000493704778,990
518.571049357608,1008
523.07991172893526,1015
527.58659327768328,1012
532.09109522966173,984
536.59341880981083,976
541.09356524221585,967
545.59153575012169,959
550.08733155588925,972
554.58095388105357,1006
559.07240394628388,987
563.56168297140175,996
568.04879217537018,1005
572.53373277631181,1005
577.01650599148707,999
581.49711303732329,972
585.97555512937834,995
590.451833482377,1022
594.9259493101963,1011
599.3979038258658,1004
603.86769824156363,1016
608.33533376863488,1008
612.80081161757334,1007
617.26413299802152,1010
621.72529911879974,996
626.18431118786975,1006
630.64117041236386,1019
635.09587799855581,995
639.548435151908,1044
643.99884307701723,1015
648.44710297766869,1011
652.89321605678924,1011
657.33718351647622,1042
661.77900655798658,1035
666.21868638175874,1031
670.65622418737985,1007
675.0916211736112,1050
679.52487853838829,1052
683.95599747879533,1013
688.38497919110887,1044
692.81182487075421,1018
697.23653571234536,1080
701.659112909656,1172
706.07955765563747,1217
710.497871142401,1201
714.91405456125722,1146
719.32810910266562,1095
723.74003595627073,1067
728.14983631089854,1088
732.55751135453829,1029
736.96306227437162,1069
741.36649025674342,1072
745.76779648719094,1083
750.166982150422,1069
754.56404843031851,1040
758.9589965099658,1079
763.3518275716051,1066
767.7425427966773,1075
772.13114336579747,1048
776.517630458773,1075
780.90200525458567,1099
785.28426893140931,1066
789.66442266659942,1073
794.04246763670744,1083
798.41840501745537,1053
802.79223598377212,1044
807.16396170976077,1055
811.53358336873134,1069
815.90110213315711,1054
820.26651917473646,1077
824.629835664331,1090
828.99105277200579,1075
833.35017166702892,1084
837.70719351783919,1073
842.06211949209683,1088
846.41495075663988,1079
850.765688477506,1100
855.114333819929,1111
859.46088794834577,1114
863.80535202638566,1130
868.1477272168886,1138
872.4880146818723,1106
876.82621558257961,1092
881.16233107943117,1109
885.49636233207275,1104
889.82831049933884,1147
894.15817673926358,1084
898.48596220909894,1100
902.81166806529291,1081
907.13529546349673,1075
911.45684555857224,1094
915.77631950459181,1074
920.09371845482747,1124
924.40904356176543,1075
928.72229597709156,1086
933.03347685171684,1094
937.34258733574825,1119
941.64962857851788,1146
945.95460172855383,1156
950.2575079336093,1148
954.55834834064808,1143
958.85712409583721,1071
963.15383634457248,1132
967.4484862314639,1122
971.74107490032839,1107
976.03160349420432,1117
980.32007315534793,1184
984.60648502524054,1181
988.89084024455951,1224
993.17313995323639,1203
997.45338529039145,1191
1001.7315773943774,1232
1006.0077174027792,1233
1010.2818064523854,1224
1014.5538456792201,1187
1018.8238362185293,1201
1023.0917792047767,1210
1027.3576757716619,1180
1031.6215270520988,1181
1035.8833341782374,1215
1040.1430982814454,1195
1044.4008204923302,1188
1048.6565019407171,1188
1052.9101437556674,1164
1057.1617470654637,1189
1061.4113129976322,1171
1065.6588426789167,1270
1069.9043372353008,1252
1074.1477977920003,1228
1078.38922547346,1222
1082.6286214033644,1221
1086.8659867046335,1249
1091.1013224994094,1194
1095.3346299090808,1161
1099.5659100542798,1168
1103.79516405486,1185
1108.0223930299253,1190
1112.2475980978161,1185
1116.4707803761012,1187
1120.6919409816073,1276
1124.9110810303828,1263
1129.1282016377336,1258
1133.3433039182055,1246
1137.556388985573,1251
1141.7674579528684,1246
1145.9765119323602,1284
1150.1835520355708,1285
1154.3885793732516,1327
1158.5915950554227,1325
1162.7926001913293,1306
1166.991595889478,1340
1171.1885832576118,1403
1175.3835634027382,1411
1179.5765374310977,1334
1183.7675064481919,1307
1187.9564715587621,1249
1192.143433866815,1207
1196.3283944756004,1255
1200.5113544876222,1242
1204.6923150046387,1261
1208.8712771276587,1247
1213.0482419569489,1274
1217.2232105920339,1274
1221.3961841316886,1346
1225.5671636739498,1322
1229.7361503160973,1361
1233.9031451546907,1402
1238.0681492855365,1423
1242.2311638036954,1408
1246.3921898035042,1423
1250.5512283785356,1409
1254.7082806216495,1350
1258.8633476249524,1432
1263.0164304798091,1527
1267.1675302768635,1546
1271.3166481060143,1493
1275.4637850564177,1425
1279.6089422165096,1400
1283.7521206739802,1394
1287.8933215157922,1424
1292.0325458281659,1471
1296.1697946966051,1556
1300.3050692058641,1586
1304.4383704399806,1696
1308.5696994822538,1518
1312.6990574152551,1454
1316.8264453208285,1419
1320.9518642800831,1358
1325.0753153734113,1322
1329.1967996804633,1322
1333.3163182801763,1319
1337.4338722507528,1355
1341.5494626696745,1335
1345.6630906136961,1368
1349.7747571588516,1380
1353.8844633804438,1416
1357.9922103530589,1424
1362.0979991505628,1407
1366.2018308460938,1468
1370.3037065120661,1503
1374.403627220192,1592
1378.5015940414414,1598
1382.5976080460787,1759
1386.6916703036441,1777
1390.7837818829612,1814
1394.8739438521407,1865
1398.9621572785727,1964
1403.0484232289273,1982
1407.1327427691685,1943
1411.2151169645404,1837
1415.2955468795662,1661
1419.3740335780712,1524
1423.4505781231564,1473
1427.5251815772099,1461
1431.5978450019211,1471
1435.6685694582447,1471
1439.7373560064552,1472
1443.804205706092,1438
1447.8691196159925,1474
1451.9320987942956,1464
1455.9931442984162,1475
1460.0522571850779,1435
1464.1094385102879,1455
1468.1646893293437,1462
1472.2180106968481,1420
1476.2694036666908,1433
1480.318869292063,1395
1484.3664086254503,1411
1488.4120227186322,1414
1492.4557126226864,1424
1496.4974793879956,1365
1500.5373240642293,1439
1504.5752477003662,1414
1508.6112513446824,1448
1512.6453360447558,1471
1516.6775028474622,1483
1520.7077527989786,1608
1524.7360869447948,1665
1528.7625063296837,1646
1532.7870119977415,1605
1536.8096049923588,1516
1540.8302863562349,1493
1544.8490571313669,1547
1548.8659183590717,1566
1552.880871079964,1550
1556.8939163339564,1566
1560.9050551602922,1473
1564.9142885975052,1531
1568.9216176834379,1526
1572.9270434552564,1535
1576.9305669494242,1565
1580.9321892017251,1584
1584.931911247244,1563
1588.9297341203819,1528
1592.925658854856,1522
1596.9196864836958,1478
1600.9118180392397,1511
1604.9020545531494,1491
1608.8903970563879,1467
1612.8768465792491,1481
1616.8614041513283,1432
1620.8440708015514,1456
1624.8248475581495,1455
1628.8037354486842,1464
1632.7807355000223,1464
1636.7558487383612,1456
1640.7290761892036,1503
1644.7004188773935,1434
1648.6698778270766,1414
1652.6374540617253,1448
1656.6031486041466,1461
1660.5669624764487,1459
1664.5288967000743,1404
1668.4889522957928,1441
1672.4471302836937,1413
1676.4034316831967,1469
1680.3578575130305,1395
1684.3104087912761,1452
1688.2610865353126,1360
1692.2098917618714,1422
1696.1568254869962,1434
1700.101888726058,1383
1704.0450824937689,1400
1707.9864078041719,1426
1711.9258656706115,1423
1715.8634571058028,1408
1719.7991831217623,1444
1723.7330447298555,1427
1727.6650429407637,1381
1731.5951787645208,1459
1735.5234532104841,1397
1739.4498672873378,1419
1743.3744220031149,1378
1747.2971183651716,1399
1751.2179573802132,1402
1755.1369400542644,1419
1759.0540673927026,1441
1762.9693404002392,1411
1766.8827600809091,1434
1770.7943274381068,1381
1774.7040434745541,1404
1778.6119091923138,1430
1782.5179255927906,1418
1786.4220936767306,1413
1790.3244144442178,1406
1794.2248888946888,1411
