Wavelength,Intensity
117.81040077578655,615
122.51378642971758,630
127.21488124521056,619
131.91368652571691,620
136.61020357374218,627
141.30443369086424,659
145.99637817774055,661
150.68603833410816,698
155.37341545876916,758
160.05851084960887,862
164.74132580358491,904
169.42186161673453,940
174.10011958417454,976
178.77610100010133,1044
183.44980715779093,1060
188.12123934959891,1166
192.7903988669641,1154
197.45728700041218,1227
202.12190503954116,1262
206.78425427305774,1319
211.44433598872274,1329
216.10215147340932,1314
220.75770201305568,1383
225.41098889271234,1440
230.06201339649851,1388
234.71077680762755,1466
239.35728040841423,1422
244.00152548025653,1436
248.64351330363934,1386
253.28324515814529,1405
257.92072232245846,1407
262.5559460743425,1427
267.18891769067341,1417
271.8196384474104,1471
276.44810961961048,1399
281.07433248143934,1436
285.69830830615319,1451
290.32003836610966,1440
294.93952393276777,1445
299.55676627668436,1471
304.17176666752493,1504
308.78452637404553,1494
313.39504666412904,1475
318.0033288047307,1466
322.60937406194716,1497
327.21318370095105,1481
331.81475898603821,1502
336.41410118060594,1562
341.01121154716384,1510
345.60609134733386,1562
350.19874184183936,1553
354.78916429052333,1509
359.37735995234107,1528
363.963330085342,1511
368.54707594672072,1536
373.1285987927622,1561
377.70789987887474,1603
382.28498045957895,1561
386.85984178852232,1608
391.43248511845741,1557
396.00291170126366,1637
400.57112278793647,1560
405.13711962859452,1564
409.70090347246878,1608
414.26247556792077,1611
418.82183716243526,1592
423.37898950261297,1636
427.93393383418152,1599
432.48667140199905,1596
437.03720345003967,1644
441.585531221408,1645
446.13165595833925,1612
450.67557890219905,1638
455.2173012934727,1629
459.75682437177966,1638
464.29414937586625,1695
468.8292775436239,1647
473.36221011205271,1672
477.8929483173124,1696
482.42149339467142,1741
486.9478465785578,1756
491.4720091024974,1728
495.99398219920113,1647
500.51376710047771,1687
505.0313650372882,1724
509.54677723973145,1761
514.06000493704778,1722
518.571049357608,1744
523.07991172893526,1754
527.58659327768328,1730
532.09109522966173,1724
536.59341880981083,1724
541.09356524221585,1725
545.59153575012169,1802
550.08733155588925,1810
554.58095388105357,1785
559.07240394628388,1743
563.56168297140175,1768
568.04879217537018,1787
572.53373277631181,1774
577.01650599148707,1735
581.49711303732329,1735
585.97555512937834,1783
590.451833482377,1785
594.9259493101963,1761
599.3979038258658,1825
603.86769824156363,1792
608.33533376863488,1811
612.80081161757334,1740
617.26413299802152,1809
621.72529911879974,1789
626.18431118786975,1803
630.64117041236386,1793
635.09587799855581,1800
639.548435151908,1758
643.99884307701723,1778
648.44710297766869,1837
652.89321605678924,1799
657.33718351647622,1746
661.77900655798658,1769
666.21868638175874,1807
670.65622418737985,1755
675.0916211736112,1815
679.52487853838829,1838
683.95599747879533,1772
688.38497919110887,1766
692.81182487075421,1797
697.23653571234536,1805
701.659112909656,1798
706.07955765563747,1790
710.497871142401,1852
714.91405456125722,1819
719.32810910266562,1805
723.74003595627073,1784
728.14983631089854,1833
732.55751135453829,1840
736.96306227437162,1818
741.36649025674342,1802
745.76779648719094,1793
750.166982150422,1858
754.56404843031851,1792
758.9589965099658,1791
763.3518275716051,1832
767.7425427966773,1828
772.13114336579747,1801
776.517630458773,1831
780.90200525458567,1763
785.28426893140931,1829
789.66442266659942,1747
794.04246763670744,1894
798.41840501745537,1830
802.79223598377212,1798
807.16396170976077,1796
811.53358336873134,1787
815.90110213315711,1799
820.26651917473646,1718
824.629835664331,1756
828.99105277200579,1751
833.35017166702892,1809
837.70719351783919,1798
842.06211949209683,1769
846.41495075663988,1777
850.765688477506,1752
855.114333819929,1805
859.46088794834577,1743
863.80535202638566,1743
868.1477272168886,1831
872.4880146818723,1735
876.82621558257961,1762
881.16233107943117,1771
885.49636233207275,1748
889.82831049933884,1766
894.15817673926358,1737
898.48596220909894,1771
902.81166806529291,1763
907.13529546349673,1781
911.45684555857224,1755
915.77631950459181,1746
920.09371845482747,1702
924.40904356176543,1676
928.72229597709156,1732
933.03347685171684,1742
937.34258733574825,1725
941.64962857851788,1690
945.95460172855383,1717
950.2575079336093,1684
954.55834834064808,1687
958.85712409583721,1719
963.15383634457248,1706
967.4484862314639,1676
971.74107490032839,1682
976.03160349420432,1737
980.32007315534793,1660
984.60648502524054,1676
988.89084024455951,1664
993.17313995323639,1661
997.45338529039145,1670
1001.7315773943774,1687
1006.0077174027792,1662
1010.2818064523854,1701
1014.5538456792201,1697
1018.8238362185293,1659
1023.0917792047767,1675
1027.3576757716619,1642
1031.6215270520988,1653
1035.8833341782374,1711
1040.1430982814454,1647
1044.4008204923302,1645
1048.6565019407171,1660
1052.9101437556674,1645
1057.1617470654637,1578
1061.4113129976322,1660
1065.6588426789167,1592
1069.9043372353008,1602
1074.1477977920003,1645
1078.38922547346,1589
1082.6286214033644,1655
1086.8659867046335,1581
1091.1013224994094,1586
1095.3346299090808,1556
1099.5659100542798,1585
1103.79516405486,1610
1108.0223930299253,1615
1112.2475980978161,1606
1116.4707803761012,1599
1120.6919409816073,1601
1124.9110810303828,1586
1129.1282016377336,1590
1133.3433039182055,1614
1137.556388985573,1630
1141.7674579528684,1627
1145.9765119323602,1569
1150.1835520355708,1562
1154.3885793732516,1529
1158.5915950554227,1571
1162.7926001913293,1563
1166.991595889478,1507
1171.1885832576118,1579
1175.3835634027382,1575
1179.5765374310977,1560
1183.7675064481919,1511
1187.9564715587621,1515
1192.143433866815,1506
1196.3283944756004,1547
1200.5113544876222,1554
1204.6923150046387,1454
1208.8712771276587,1492
1213.0482419569489,1517
1217.2232105920339,1493
1221.3961841316886,1495
1225.5671636739498,1438
1229.7361503160973,1505
1233.9031451546907,1487
1238.0681492855365,1494
1242.2311638036954,1491
1246.3921898035042,1510
1250.5512283785356,1489
1254.7082806216495,1511
1258.8633476249524,1460
1263.0164304798091,1492
1267.1675302768635,1479
1271.3166481060143,1494
1275.4637850564177,1491
1279.6089422165096,1441
1283.7521206739802,1463
1287.8933215157922,1495
1292.0325458281659,1485
1296.1697946966051,1451
1300.3050692058641,1428
1304.4383704399806,1497
1308.5696994822538,1458
1312.6990574152551,1472
1316.8264453208285,1448
1320.9518642800831,1436
1325.0753153734113,1414
1329.1967996804633,1449
1333.3163182801763,1423
1337.4338722507528,1451
1341.5494626696745,1411
1345.6630906136961,1462
1349.7747571588516,1473
1353.8844633804438,1433
1357.9922103530589,1419
1362.0979991505628,1430
1366.2018308460938,1467
1370.3037065120661,1409
1374.403627220192,1425
1378.5015940414414,1445
1382.5976080460787,1426
1386.6916703036441,1414
1390.7837818829612,1385
1394.8739438521407,1340
1398.9621572785727,1398
1403.0484232289273,1373
1407.1327427691685,1395
1411.2151169645404,1394
1415.2955468795662,1348
1419.3740335780712,1351
1423.4505781231564,1369
1427.5251815772099,1335
1431.5978450019211,1350
1435.6685694582447,1364
1439.7373560064552,1385
1443.804205706092,1360
1447.8691196159925,1321
1451.9320987942956,1323
1455.9931442984162,1349
1460.0522571850779,1393
1464.1094385102879,1329
1468.1646893293437,1352
1472.2180106968481,1351
1476.2694036666908,1336
1480.318869292063,1331
1484.3664086254503,1311
1488.4120227186322,1307
1492.4557126226864,1337
1496.4974793879956,1350
1500.5373240642293,1328
1504.5752477003662,1357
1508.6112513446824,1314
1512.6453360447558,1347
1516.6775028474622,1362
1520.7077527989786,1323
1524.7360869447948,1326
1528.7625063296837,1326
1532.7870119977415,1298
1536.8096049923588,1310
1540.8302863562349,1330
1544.8490571313669,1331
1548.8659183590717,1323
1552.880871079964,1308
1556.8939163339564,1303
1560.9050551602922,1321
1564.9142885975052,1306
1568.9216176834379,1282
1572.9270434552564,1321
1576.9305669494242,1330
1580.9321892017251,1279
1584.931911247244,1296
1588.9297341203819,1294
1592.925658854856,1297
1596.9196864836958,1273
1600.9118180392397,1268
1604.9020545531494,1302
1608.8903970563879,1272
1612.8768465792491,1256
1616.8614041513283,1262
1620.8440708015514,1250
1624.8248475581495,1246
1628.8037354486842,1283
1632.7807355000223,1255
1636.7558487383612,1252
1640.7290761892036,1267
1644.7004188773935,1287
1648.6698778270766,1251
1652.6374540617253,1247
1656.6031486041466,1245
1660.5669624764487,1260
1664.5288967000743,1235
1668.4889522957928,1249
1672.4471302836937,1216
1676.4034316831967,1212
1680.3578575130305,1225
1684.3104087912761,1251
1688.2610865353126,1229
1692.2098917618714,1230
1696.1568254869962,1207
1700.101888726058,1226
1704.0450824937689,1239
1707.9864078041719,1215
1711.9258656706115,1205
1715.8634571058028,1195
1719.7991831217623,1242
1723.7330447298555,1211
1727.6650429407637,1185
1731.5951787645208,1180
1735.5234532104841,1193
1739.4498672873378,1188
1743.3744220031149,1185
1747.2971183651716,1195
1751.2179573802132,1233
1755.1369400542644,1193
1759.0540673927026,1215
