Wavelength,Intensity # Note: second half of data set dropped
117.81040077578655,600
122.51378642971758,602
127.21488124521056,620
131.91368652571691,648
136.61020357374218,641
141.30443369086424,652
145.99637817774055,697
150.68603833410816,738
155.37341545876916,790
160.05851084960887,838
164.74132580358491,884
169.42186161673453,952
174.10011958417454,1024
178.77610100010133,1064
183.44980715779093,1090
188.12123934959891,1152
192.7903988669641,1138
197.45728700041218,1241
202.12190503954116,1243
206.78425427305774,1327
211.44433598872274,1290
216.10215147340932,1373
220.75770201305568,1397
225.41098889271234,1416
230.06201339649851,1419
234.71077680762755,1446
239.35728040841423,1481
244.00152548025653,1488
248.64351330363934,1481
253.28324515814529,1484
257.92072232245846,1519
262.5559460743425,1492
267.18891769067341,1477
271.8196384474104,1473
276.44810961961048,1345
281.07433248143934,1397
285.69830830615319,1333
290.32003836610966,1288
294.93952393276777,1319
299.55676627668436,1286
304.17176666752493,1305
308.78452637404553,1328
313.39504666412904,1271
318.0033288047307,1233
322.60937406194716,1236
327.21318370095105,1257
331.81475898603821,1218
336.41410118060594,1235
341.01121154716384,1219
345.60609134733386,1245
350.19874184183936,1227
354.78916429052333,1237
359.37735995234107,1255
363.963330085342,1213
368.54707594672072,1236
373.1285987927622,1262
377.70789987887474,1231
382.28498045957895,1206
386.85984178852232,1263
391.43248511845741,1249
396.00291170126366,1256
400.57112278793647,1289
405.13711962859452,1249
409.70090347246878,1243
414.26247556792077,1265
418.82183716243526,1278
423.37898950261297,1230
427.93393383418152,1283
432.48667140199905,1258
437.03720345003967,1249
441.585531221408,1241
446.13165595833925,1259
450.67557890219905,1237
455.2173012934727,1265
459.75682437177966,1289
464.29414937586625,1247
468.8292775436239,1280
473.36221011205271,1311
477.8929483173124,1331
482.42149339467142,1314
486.9478465785578,1270
491.4720091024974,1272
495.99398219920113,1288
500.51376710047771,1284
505.0313650372882,1331
509.54677723973145,1330
514.06000493704778,1313
518.571049357608,1337
523.07991172893526,1274
527.58659327768328,1314
532.09109522966173,1299
536.59341880981083,1297
541.09356524221585,1350
545.59153575012169,1352
550.08733155588925,1314
554.58095388105357,1332
559.07240394628388,1318
563.56168297140175,1310
568.04879217537018,1281
572.53373277631181,1299
577.01650599148707,1298
581.49711303732329,1321
585.97555512937834,1333
590.451833482377,1344
594.9259493101963,1314
599.3979038258658,1294
603.86769824156363,1333
608.33533376863488,1334
612.80081161757334,1345
617.26413299802152,1352
621.72529911879974,1336
626.18431118786975,1311
630.64117041236386,1316
635.09587799855581,1342
639.548435151908,1358
643.99884307701723,1358
648.44710297766869,1350
652.89321605678924,1320
657.33718351647622,1351
661.77900655798658,1358
